City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Katsuura,JP,68.02,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
11,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
13,East London,ZA,62.13,overcast clouds,-33.0153,27.9116,Tu Casa
14,Esperance,AU,56.62,clear sky,-33.8667,121.9,Hospitality Esperance
16,Port Alfred,ZA,57.18,scattered clouds,-33.5906,26.891,The Halyards Hotel
22,Cape Town,ZA,60.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Nantucket,US,63.14,clear sky,41.2835,-70.0995,Jared Coffin House
24,Manokwari,ID,77.65,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
26,Rikitea,PF,77.29,clear sky,-23.1203,-134.9692,People ThankYou
28,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Butaritari,KI,80.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
33,Luanda,AO,75.2,clear sky,-8.8368,13.2343,EPIC SANA Luanda
34,Milici,BA,61.97,overcast clouds,44.1711,19.0903,Хотелски апартмани Боксит
35,Port Elizabeth,ZA,57.09,clear sky,-33.918,25.5701,39 On Nile Guest House
36,Gravdal,NO,55.29,broken clouds,68.1214,13.5031,Skreda Rorbusuiter
37,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
38,Praia Da Vitoria,PT,65.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
39,Yellowknife,CA,59.56,scattered clouds,62.456,-114.3525,The Explorer Hotel
41,Ternate,ID,80.17,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
43,Marsh Harbour,BS,79.63,few clouds,26.5412,-77.0636,Abaco Beach Resort
44,Carnarvon,AU,70.32,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
46,Shimoda,JP,67.35,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
