City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kozhva,RU,65.1073,57.0459,44.47,73,73,14.56,broken clouds
1,Hobart,AU,-42.8794,147.3294,54.27,84,20,10.36,few clouds
2,Henties Bay,NA,-22.116,14.2845,58.87,85,0,8.03,clear sky
3,Albany,US,42.6001,-73.9662,74.73,56,100,3.0,overcast clouds
4,Cherskiy,RU,68.75,161.3,36.37,65,99,13.78,overcast clouds
5,Tiksi,RU,71.6872,128.8694,24.48,96,94,6.58,overcast clouds
6,Bredasdorp,ZA,-34.5322,20.0403,53.85,89,9,4.34,clear sky
7,Katsuura,JP,35.1333,140.3,68.02,88,100,22.17,light rain
8,Bluff,NZ,-46.6,168.3333,32.81,85,5,5.7,clear sky
9,Nanortalik,GL,60.1432,-45.2371,37.22,96,100,7.78,overcast clouds
10,Coihaique,CL,-45.5752,-72.0662,41.61,70,20,0.0,few clouds
11,Avarua,CK,-21.2078,-159.775,80.65,78,40,3.44,scattered clouds
12,Lebu,CL,-37.6167,-73.65,49.06,65,12,16.98,few clouds
13,East London,ZA,-33.0153,27.9116,62.13,80,100,5.57,overcast clouds
14,Esperance,AU,-33.8667,121.9,56.62,82,2,5.19,clear sky
15,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,100,11.5,light rain
16,Port Alfred,ZA,-33.5906,26.891,57.18,94,39,3.0,scattered clouds
17,Rehoboth,NA,-23.3167,17.0833,61.97,22,0,5.28,clear sky
18,Hermanus,ZA,-34.4187,19.2345,54.81,83,30,8.21,scattered clouds
19,Torbay,CA,47.6666,-52.7314,42.89,71,20,17.27,few clouds
20,Santa Cruz,BO,-17.8,-63.1667,86.05,51,75,18.41,broken clouds
21,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,37,0,10.36,clear sky
22,Cape Town,ZA,-33.9258,18.4232,60.91,85,3,7.0,clear sky
23,Nantucket,US,41.2835,-70.0995,63.14,81,0,11.5,clear sky
24,Manokwari,ID,-0.8667,134.0833,77.65,78,99,4.92,overcast clouds
25,Busselton,AU,-33.65,115.3333,53.83,74,0,7.9,clear sky
26,Rikitea,PF,-23.1203,-134.9692,77.29,75,9,16.64,clear sky
27,Iqaluit,CA,63.7506,-68.5145,20.93,67,75,9.22,broken clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,90,8.01,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,35.26,80,100,32.21,snow
30,Mataura,NZ,-46.1927,168.8643,32.49,96,3,2.01,clear sky
31,Broken Hill,AU,-31.95,141.4333,52.88,85,0,6.73,clear sky
32,Butaritari,KI,3.0707,172.7902,80.87,70,95,8.7,overcast clouds
33,Luanda,AO,-8.8368,13.2343,75.2,73,0,6.91,clear sky
34,Milici,BA,44.1711,19.0903,61.97,97,95,1.36,overcast clouds
35,Port Elizabeth,ZA,-33.918,25.5701,57.09,97,0,5.75,clear sky
36,Gravdal,NO,68.1214,13.5031,55.29,71,75,4.61,broken clouds
37,Ribeira Grande,PT,38.5167,-28.7,64.8,82,20,14.97,few clouds
38,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,82,40,11.48,scattered clouds
39,Yellowknife,CA,62.456,-114.3525,59.56,41,40,13.8,scattered clouds
40,Jimenez,MX,28.3333,-105.4,96.39,9,0,7.49,clear sky
41,Ternate,ID,0.8,127.4,80.17,80,70,4.59,broken clouds
42,Klaksvik,FO,62.2266,-6.589,47.32,76,20,12.03,light rain
43,Marsh Harbour,BS,26.5412,-77.0636,79.63,71,13,15.35,few clouds
44,Carnarvon,AU,-24.8667,113.6333,70.32,64,100,9.13,overcast clouds
45,San Rafael,AR,-34.6177,-68.3301,54.73,46,77,6.76,broken clouds
46,Shimoda,JP,34.6667,138.95,67.35,96,100,18.97,moderate rain
47,Verkhovazhye,RU,60.7472,42.0465,40.1,99,100,3.44,overcast clouds
48,Mahajanga,MG,-15.7167,46.3167,77.02,83,20,5.75,few clouds
49,Richards Bay,ZA,-28.783,32.0377,67.3,87,88,4.99,light rain
50,Pasaje,EC,-3.3333,-79.8167,76.71,66,61,6.53,light rain
51,Luganville,VU,-15.5333,167.1667,78.98,84,56,7.18,broken clouds
52,Upernavik,GL,72.7868,-56.1549,32.13,76,19,13.15,few clouds
53,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,13.8,clear sky
54,Sorong,ID,-0.8833,131.25,78.42,86,100,3.06,overcast clouds
55,Minnedosa,CA,50.2453,-99.8436,73.96,43,9,7.99,clear sky
56,Moroto,UG,2.5345,34.6666,67.6,76,93,3.2,light rain
57,Jamestown,US,42.097,-79.2353,76.59,73,100,17.27,overcast clouds
58,Hithadhoo,MV,-0.6,73.0833,83.73,69,6,11.23,clear sky
59,Miyako,JP,39.6367,141.9525,59.77,96,100,10.78,light rain
60,Codrington,AU,-38.2667,141.9667,48.78,94,100,5.82,overcast clouds
61,Gradsko,MK,41.5775,21.9428,71.49,64,2,3.24,clear sky
62,Carutapera,BR,-1.195,-46.02,79.11,87,18,6.82,few clouds
63,Tobermory,CA,45.2501,-81.6665,48.61,98,100,17.36,overcast clouds
64,Camiri,BO,-20.05,-63.5167,74.98,57,75,0.0,broken clouds
65,Georgetown,MY,5.4112,100.3354,80.53,94,20,4.61,few clouds
66,Saskylakh,RU,71.9167,114.0833,31.03,96,100,11.01,overcast clouds
67,Yarmouth,US,41.7057,-70.2286,66.61,70,0,13.8,clear sky
68,Fortuna,US,40.5982,-124.1573,56.66,90,0,6.91,clear sky
69,Aklavik,CA,68.2191,-135.0107,48.31,73,100,6.82,overcast clouds
70,Le Port,RE,-20.9373,55.2919,71.6,80,4,2.84,clear sky
71,Ponta Do Sol,PT,32.6667,-17.1,69.01,72,83,2.46,broken clouds
72,Iskateley,RU,67.6803,53.1512,52.59,83,22,17.65,few clouds
73,Aksu,CN,41.1231,80.2644,76.39,23,11,6.44,few clouds
74,Jiwani,PK,25.05,61.7417,83.68,85,0,8.63,clear sky
75,Asau,RO,46.4333,26.4,57.96,78,11,5.46,few clouds
76,Shitanjing,CN,39.2342,106.3439,61.79,15,100,6.78,overcast clouds
77,Khatanga,RU,71.9667,102.5,27.88,81,65,4.5,broken clouds
78,Cam Ranh,VN,11.9214,109.1591,80.56,83,20,2.3,few clouds
79,Bethel,US,41.3712,-73.414,71.37,64,0,14.97,clear sky
80,Talnakh,RU,69.4865,88.3972,29.46,82,64,4.18,broken clouds
81,Guerrero Negro,MX,27.9769,-114.0611,73.13,53,0,13.02,clear sky
82,Dikson,RU,73.5069,80.5464,24.03,92,100,5.41,overcast clouds
83,Souillac,MU,-20.5167,57.5167,68.38,88,20,3.44,few clouds
84,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05,broken clouds
85,New Norfolk,AU,-42.7826,147.0587,53.92,80,60,4.0,broken clouds
86,Adlay,PH,9.4097,125.8975,77.32,82,100,3.31,overcast clouds
87,Saint Anthony,US,45.0205,-93.218,60.35,70,100,11.5,overcast clouds
88,Barrow,US,71.2906,-156.7887,33.82,93,100,11.5,mist
89,Paamiut,GL,61.994,-49.6678,31.15,77,100,1.81,overcast clouds
90,Nikolskoye,RU,59.7035,30.7861,51.87,99,100,2.13,overcast clouds
91,Severo-Kurilsk,RU,50.6789,156.125,39.9,85,42,3.89,scattered clouds
92,Salamanca,ES,40.8333,-6.0,70.0,47,5,15.03,clear sky
93,Deputatskiy,RU,69.3,139.9,19.26,91,95,3.02,overcast clouds
94,Atuona,PF,-9.8,-139.0333,78.31,77,13,18.79,few clouds
95,Kampong Chhnang,KH,12.1667,104.55,78.62,87,100,2.15,overcast clouds
96,Nyurba,RU,63.2842,118.3319,33.4,62,19,7.92,few clouds
97,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,66,20,6.91,few clouds
98,Hilo,US,19.7297,-155.09,88.29,70,100,5.75,overcast clouds
99,Karasjok,NO,69.4719,25.5112,54.12,52,100,17.58,overcast clouds
100,Camacha,PT,33.0833,-16.3333,62.02,72,20,11.5,few clouds
101,Ballina,AU,-28.8667,153.5667,58.64,94,49,8.52,scattered clouds
102,Bukachacha,RU,52.9833,116.9167,48.45,62,3,2.21,clear sky
103,Stephenville,US,32.2207,-98.2023,91.17,17,0,11.5,clear sky
104,Khilok,RU,51.3674,110.4676,50.5,56,28,12.17,scattered clouds
105,Qaanaaq,GL,77.484,-69.3632,31.6,69,8,3.11,clear sky
106,Thinadhoo,MV,0.5333,72.9333,83.59,69,48,11.05,scattered clouds
107,Mar Del Plata,AR,-38.0023,-57.5575,55.09,58,100,1.01,overcast clouds
108,Romilly-Sur-Seine,FR,48.5108,3.7263,63.72,82,100,4.65,overcast clouds
109,Te Anau,NZ,-45.4167,167.7167,36.54,87,29,1.12,scattered clouds
110,Upata,VE,8.0086,-62.3989,76.19,73,99,5.28,overcast clouds
111,Kavieng,PG,-2.5744,150.7967,80.78,72,95,7.34,overcast clouds
112,Gemunden,DE,50.05,9.7,65.77,72,89,7.78,overcast clouds
113,Thompson,CA,55.7435,-97.8558,41.16,100,75,11.5,mist
114,Sobolevo,RU,54.4299,31.8996,47.79,93,53,8.7,broken clouds
115,Katangli,RU,51.7102,143.2326,39.04,89,100,4.03,overcast clouds
116,Taga,RO,46.95,24.05,57.52,75,41,3.71,scattered clouds
117,Khandyga,RU,62.6667,135.6,40.14,82,99,1.25,overcast clouds
118,San Roque,ES,36.2107,-5.3842,65.23,82,40,19.57,scattered clouds
