City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-05-23 20:24:15,-54.8,-68.3,37.02,69,40,5.75
1,Punta Arenas,CL,2022-05-23 20:25:18,-53.15,-70.9167,37.51,75,75,16.11
2,Bluff,NZ,2022-05-23 20:26:43,-46.6,168.3333,52.81,77,80,24.87
3,Havoysund,NO,2022-05-23 20:26:44,70.9963,24.6622,48.43,73,29,11.52
4,Urumqi,CN,2022-05-23 20:26:44,43.801,87.6005,68.95,43,0,6.71
5,Bredasdorp,ZA,2022-05-23 20:26:44,-34.5322,20.0403,56.86,88,95,5.79
6,Basavana Bagevadi,IN,2022-05-23 20:26:45,16.5833,75.9667,78.78,72,22,20.89
7,Tabou,CI,2022-05-23 20:26:45,4.423,-7.3528,77.27,87,100,9.26
8,Buraydah,SA,2022-05-23 20:26:46,26.326,43.975,84.65,15,0,18.34
9,Atuona,PF,2022-05-23 20:26:46,-9.8,-139.0333,78.78,77,3,19.57
10,Hobyo,SO,2022-05-23 20:26:46,5.3505,48.5268,80.38,83,54,28.79
11,Ambon,ID,2022-05-23 20:26:47,-3.6954,128.1814,75.34,94,40,3.44
12,Aklavik,CA,2022-05-23 20:26:47,68.2191,-135.0107,32.41,60,80,1.54
13,Wuda,CN,2022-05-23 20:26:47,39.4994,106.7117,69.55,28,7,6.8
14,Albany,US,2022-05-23 20:21:55,42.6001,-73.9662,68.65,43,100,1.01
15,East London,ZA,2022-05-23 20:26:48,-33.0153,27.9116,63.21,71,69,4.97
16,Haren,DE,2022-05-23 20:26:48,52.7833,7.2333,64.92,95,98,10.92
17,Mataura,NZ,2022-05-23 20:26:49,-46.1927,168.8643,52.48,83,60,7.94
18,Broome,US,2022-05-23 20:26:49,42.2506,-75.833,66.7,54,100,10.36
19,Benghazi,LY,2022-05-23 20:26:49,32.1167,20.0667,71.37,38,0,8.05
20,Turukhansk,RU,2022-05-23 20:26:50,65.8167,87.9833,48.65,74,52,14.74
21,Ribeira Grande,PT,2022-05-23 20:26:50,38.5167,-28.7,63.0,88,75,11.5
22,Carnarvon,AU,2022-05-23 20:26:50,-24.8667,113.6333,71.49,58,96,15.23
23,Korla,CN,2022-05-23 20:26:51,41.7597,86.1469,76.21,20,80,13.44
24,Georgetown,MY,2022-05-23 20:24:01,5.4112,100.3354,82.33,91,20,3.44
25,Xingcheng,CN,2022-05-23 20:26:51,40.6167,120.7167,64.26,62,42,10.8
26,Cervo,ES,2022-05-23 20:26:52,43.6702,-7.4101,57.96,80,4,10.92
27,Cidreira,BR,2022-05-23 20:26:52,-30.1811,-50.2056,63.66,75,0,4.72
28,Grindavik,IS,2022-05-23 20:26:52,63.8424,-22.4338,48.15,81,75,9.22
29,Qasigiannguit,GL,2022-05-23 20:26:53,68.8193,-51.1922,34.05,93,100,4.0
30,Stawell,AU,2022-05-23 20:26:53,-37.05,142.7667,45.32,85,0,3.22
31,Yuxia,CN,2022-05-23 20:26:53,34.0615,108.6291,66.81,67,4,5.53
32,Seoul,KR,2022-05-23 20:25:10,37.5683,126.9778,58.6,88,40,5.75
33,Zhezkazgan,KZ,2022-05-23 20:26:54,47.8043,67.7144,59.16,23,63,8.61
34,Saskylakh,RU,2022-05-23 20:26:54,71.9167,114.0833,27.36,96,100,12.8
35,Longyearbyen,SJ,2022-05-23 20:26:54,78.2186,15.6401,33.64,100,100,4.61
36,Hithadhoo,MV,2022-05-23 20:26:55,-0.6,73.0833,84.06,73,69,11.34
37,Vao,NC,2022-05-23 20:26:55,-22.6667,167.4833,72.46,78,100,17.83
38,Cape Town,ZA,2022-05-23 20:26:55,-33.9258,18.4232,59.41,87,0,10.36
39,Prince Rupert,CA,2022-05-23 20:26:56,54.3161,-130.3201,48.29,85,100,9.22
40,Thinadhoo,MV,2022-05-23 20:26:56,0.5333,72.9333,84.54,71,73,13.22
41,Port Alfred,ZA,2022-05-23 20:24:37,-33.5906,26.891,61.81,75,63,2.89
42,Iqaluit,CA,2022-05-23 20:26:57,63.7506,-68.5145,19.13,67,75,12.66
43,Tuktoyaktuk,CA,2022-05-23 20:26:57,69.4541,-133.0374,24.8,74,40,8.05
44,Tarakan,ID,2022-05-23 20:25:05,3.3,117.6333,76.5,94,75,2.3
45,Busselton,AU,2022-05-23 20:27:58,-33.65,115.3333,62.67,79,81,20.67
46,Yellowknife,CA,2022-05-23 20:27:58,62.456,-114.3525,36.12,69,75,11.5
